simulation_df,pitc_reduction_year,pitc_reduction_percentage,elimination_year,mean_incidence_2100,lower_ci,upper_ci,art_int_rate
simulation_df,2025,0,2055,1.381065e-4,1.27308325e-4,1.48904675e-4,0.22
simulation_df,2025,10,2056,1.864605e-4,1.73582775e-4,1.99338225e-4,0.22
simulation_df,2025,20,2058,2.499625e-4,2.37245325e-4,2.62679675e-4,0.22
simulation_df,2025,30,2061,3.312465e-4,3.22247625e-4,3.40245375e-4,0.22
simulation_df,2025,40,2064,4.320195e-4,4.31420525e-4,4.3261847500000006e-4,0.22
simulation_df,2025,50,2068,5.53734e-4,5.403675000000001e-4,5.671004999999999e-4,0.22
simulation_df,2025,60,2075,6.993945000000001e-4,6.654277249999999e-4,7.333612750000001e-4,0.22
simulation_df,2025,70,2087,8.707845e-4,8.085067749999999e-4,9.33062225e-4,0.22
simulation_df,2025,80,NA,0.001069095,9.6982475e-4,0.00116836525,0.22
simulation_df,2025,90,NA,0.00129229,0.001147529,0.001437051,0.22
simulation_df,2025,100,NA,0.0015376,0.0013408075,0.0017343925,0.22
simulation_df,2030,0,2055,1.381065e-4,1.27308325e-4,1.48904675e-4,0.22
simulation_df,2030,10,2056,1.852485e-4,1.72295725e-4,1.98201275e-4,0.22
simulation_df,2030,20,2058,2.470435e-4,2.34034675e-4,2.60052325e-4,0.22
simulation_df,2030,30,2060,3.26075e-4,3.1638974999999997e-4,3.3576025000000003e-4,0.22
simulation_df,2030,40,2063,4.240035e-4,4.22136275e-4,4.25870725e-4,0.22
simulation_df,2030,50,2067,5.421935e-4,5.30868075e-4,5.53518925e-4,0.22
simulation_df,2030,60,2073,6.83461e-4,6.525337500000001e-4,7.143882499999999e-4,0.22
simulation_df,2030,70,2084,8.494295e-4,7.91459075e-4,9.07399925e-4,0.22
simulation_df,2030,80,NA,0.001041228,9.478221e-4,0.0011346339,0.22
simulation_df,2030,90,NA,0.001257005,0.00111988674999999,0.00139412325,0.22
simulation_df,2030,100,NA,0.001494375,0.00130701125,0.00168173875,0.22
simulation_df,2035,0,2055,1.381065e-4,1.27308325e-4,1.48904675e-4,0.22
simulation_df,2035,10,2056,1.83665e-4,1.7062529999999998e-4,1.967047e-4,0.22
simulation_df,2035,20,2057,2.4321e-4,2.298416e-4,2.565784e-4,0.22
simulation_df,2035,30,2059,3.1925300000000003e-4,3.0868805e-4,3.2981795e-4,0.22
simulation_df,2035,40,2062,4.134075e-4,4.09873975e-4,4.16941025e-4,0.22
simulation_df,2035,50,2065,5.269445000000001e-4,5.183446250000001e-4,5.355443749999999e-4,0.22
simulation_df,2035,60,2071,6.624479999999999e-4,6.356228499999999e-4,6.892731500000001e-4,0.22
simulation_df,2035,70,2079,8.213280000000001e-4,7.692148e-4,8.734412e-4,0.22
simulation_df,2035,80,NA,0.00100458049999999,9.19213975e-4,0.001089947025,0.22
simulation_df,2035,90,NA,0.001210505,0.00108397925,0.00133703075,0.22
simulation_df,2035,100,NA,0.0014371,0.001263022,0.001611178,0.22
simulation_df,2040,0,2055,1.381065e-4,1.27308325e-4,1.48904675e-4,0.22
simulation_df,2040,10,2056,1.81731e-4,1.686096e-4,1.948524e-4,0.22
simulation_df,2040,20,2057,2.38506e-4,2.2474905e-4,2.5226294999999995e-4,0.22
simulation_df,2040,30,2058,3.108475e-4,2.9927697499999997e-4,3.22418025e-4,0.22
simulation_df,2040,40,2060,4.003235e-4,3.94820625e-4,4.05826375e-4,0.22
simulation_df,2040,50,2063,5.08124e-4,5.028135e-4,5.134345e-4,0.22
simulation_df,2040,60,2067,6.365979999999999e-4,6.147822e-4,6.584138e-4,0.22
simulation_df,2040,70,2074,7.86915e-4,7.420028e-4,8.318272e-4,0.22
simulation_df,2040,80,2091,9.59887e-4,8.8445415e-4,0.00103531985,0.22
simulation_df,2040,90,NA,0.00115393,0.00104057599999999,0.001267284,0.22
simulation_df,2040,100,NA,0.00136735499999999,0.00120996375,0.00152474624999999,0.22
simulation_df,2045,0,2055,1.381065e-4,1.27308325e-4,1.48904675e-4,0.22
simulation_df,2045,10,2055,1.7945800000000002e-4,1.6627485e-4,1.9264115e-4,0.22
simulation_df,2045,20,2056,2.32959e-4,2.188306e-4,2.4708740000000003e-4,0.22
simulation_df,2045,30,2057,3.009005e-4,2.8828782500000004e-4,3.1351317499999997e-4,0.22
simulation_df,2045,40,2059,3.84795e-4,3.77157e-4,3.92433e-4,0.22
simulation_df,2045,50,2060,4.857705e-4,4.84126525e-4,4.87414475e-4,0.22
simulation_df,2045,60,2063,6.05951e-4,5.8981525e-4,6.2208675e-4,0.22
simulation_df,2045,70,2068,7.462775e-4,7.09607025e-4,7.82947975e-4,0.22
simulation_df,2045,80,2079,9.073505e-4,8.43352325e-4,9.71348675e-4,0.22
simulation_df,2045,90,NA,0.0010876535,9.89531325e-4,0.001185775675,0.22
simulation_df,2045,100,NA,0.00128574,0.0011478,0.00142367999999999,0.22
simulation_df,2050,0,2055,1.381065e-4,1.27308325e-4,1.48904675e-4,0.22
simulation_df,2050,10,2055,1.76845e-4,1.636343e-4,1.900557e-4,0.22
simulation_df,2050,20,2055,2.2657550000000005e-4,2.12134075e-4,2.41016925e-4,0.22
simulation_df,2050,30,2056,2.89414e-4,2.758062e-4,3.0302180000000005e-4,0.22
simulation_df,2050,40,2057,3.66795e-4,3.569929e-4,3.765971e-4,0.22
simulation_df,2050,50,2058,4.59786e-4,4.575725e-4,4.619995e-4,0.22
simulation_df,2050,60,2059,5.703010000000001e-4,5.602918e-4,5.803102e-4,0.22
