year,scenario,indicator,pitc_reduction_year,test_reduction,discount,mean,upper_CI,lower_CI,future_variability,future_value
1985,annual_absolute_dif,AIDS_Mortality,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,ARTcoverageAdult,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,Circumcised15to49,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,CondomUsage,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,FemalesOver15,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,FSWonPrEP,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,HIVinc15to49,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,MalesOver15,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,MenOnPrEP,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,MMC10to14,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,MMC15to19,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,MMC20to24,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,MMC25to49,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,MMCover50,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,MSMonPrEP,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,NewAdultHIV,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,NewPrEP_F,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,NewPrEP_M,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,NewPrEP_Total,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,PrEPcoverageAGYW,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,PrEPcoverageAll,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,PrEPcoverageFSW,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,PrEPcoverageMSM,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,StartingART_15,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,TestsPerAdult,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,TotalAdultsOnART,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,TotalAIDSdeathsadult,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,TotalHIVtests,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,TotalMMC,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,TotHIV15,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,TotProtSexActs,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,TotSexActs,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_absolute_dif,WomenOnPrEP,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_percent_change,AIDS_Mortality,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_percent_change,ARTcoverageAdult,2025,0,undiscounted,NA,NA,NA,condom_reduction,3
1985,annual_percent_change,Circumcised15to49,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_percent_change,CondomUsage,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_percent_change,FemalesOver15,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_percent_change,FSWonPrEP,2025,0,undiscounted,NA,NA,NA,condom_reduction,3
1985,annual_percent_change,HIVinc15to49,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_percent_change,MalesOver15,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_percent_change,MenOnPrEP,2025,0,undiscounted,NA,NA,NA,condom_reduction,3
1985,annual_percent_change,MMC10to14,2025,0,undiscounted,NA,NA,NA,condom_reduction,3
1985,annual_percent_change,MMC15to19,2025,0,undiscounted,NA,NA,NA,condom_reduction,3
1985,annual_percent_change,MMC20to24,2025,0,undiscounted,NA,NA,NA,condom_reduction,3
1985,annual_percent_change,MMC25to49,2025,0,undiscounted,NA,NA,NA,condom_reduction,3
1985,annual_percent_change,MMCover50,2025,0,undiscounted,NA,NA,NA,condom_reduction,3
1985,annual_percent_change,MSMonPrEP,2025,0,undiscounted,NA,NA,NA,condom_reduction,3
1985,annual_percent_change,NewAdultHIV,2025,0,undiscounted,0,0,0,condom_reduction,3
1985,annual_percent_change,NewPrEP_F,2025,0,undiscounted,NA,NA,NA,condom_reduction,3
1985,annual_percent_change,NewPrEP_M,2025,0,undiscounted,NA,NA,NA,condom_reduction,3
1985,annual_percent_change,NewPrEP_Total,2025,0,undiscounted,NA,NA,NA,condom_reduction,3
