year,scenario,indicator,pitc_reduction_year,test_reduction,mean,upper_CI,lower_CI
2020,baseline,NewAdultHIV,2099,0,196344.5,196543.525,196145.475
2020,baseline,NewAdultHIV,2099,100,196344.5,196543.525,196145.475
2020,baseline,SWsexActs,2025,0,106004500,106292825,105716175
2020,baseline,SWsexActs,2025,100,106004500,106292825,105716175
2020,baseline,SWsexActs,2099,0,106004500,106292825,105716175
2020,baseline,SWsexActs,2099,100,106004500,106292825,105716175
2020,baseline,SWsexActsProt,2025,0,85673700,85777630,85569770
2020,baseline,SWsexActsProt,2025,100,85673700,85777630,85569770
2020,baseline,SWsexActsProt,2099,0,85673700,85777630,85569770
2020,baseline,SWsexActsProt,2099,100,85673700,85777630,85569770
2020,baseline,TotalAIDSdeathsadult,2025,0,49866.600000000006,50132.885,49600.315
2020,baseline,TotalAIDSdeathsadult,2025,100,49866.600000000006,50132.885,49600.315
2020,baseline,TotalAIDSdeathsadult,2099,0,49866.600000000006,50132.885,49600.315
2020,baseline,TotalAIDSdeathsadult,2099,100,49866.600000000006,50132.885,49600.315
2020,baseline,TotalHIVtests,2025,0,13702150,13717302.5,13686997.5
2020,baseline,TotalHIVtests,2025,100,13702150,13717302.5,13686997.5
2020,baseline,TotalHIVtests,2099,0,13702150,13717302.5,13686997.5
2020,baseline,TotalHIVtests,2099,100,13702150,13717302.5,13686997.5
2020,baseline,TotProtSexActs,2025,0,172247000,175551100,168942900
2020,baseline,TotProtSexActs,2025,100,172247000,175551100,168942900
2020,baseline,TotProtSexActs,2099,0,172247000,175551100,168942900
2020,baseline,TotProtSexActs,2099,100,172247000,175551100,168942900
2020,baseline,TotSexActs,2025,0,561991500,569962475,554020525
2020,baseline,TotSexActs,2025,100,561991500,569962475,554020525
2020,baseline,TotSexActs,2099,0,561991500,569962475,554020525
2020,baseline,TotSexActs,2099,100,561991500,569962475,554020525
2020,intervention,AIDSdeathsAdultF,2025,0,22217.4,22292.925000000003,22141.875
2020,intervention,AIDSdeathsAdultF,2025,100,22217.4,22292.925000000003,22141.875
2020,intervention,AIDSdeathsAdultF,2099,0,22217.4,22292.925000000003,22141.875
2020,intervention,AIDSdeathsAdultF,2099,100,22217.4,22292.925000000003,22141.875
2020,intervention,AIDSdeathsAdultM,2025,0,27649.2,27839.960000000003,27458.44
2020,intervention,AIDSdeathsAdultM,2025,100,27649.2,27839.960000000003,27458.44
2020,intervention,AIDSdeathsAdultM,2099,0,27649.2,27839.960000000003,27458.44
2020,intervention,AIDSdeathsAdultM,2099,100,27649.2,27839.960000000003,27458.44
2020,intervention,ARTcoverageAdult,2025,0,0.7072285,0.716108625,0.6983483749999999
2020,intervention,ARTcoverageAdult,2025,100,0.7072285,0.716108625,0.6983483749999999
2020,intervention,ARTcoverageAdult,2099,0,0.7072285,0.716108625,0.6983483749999999
2020,intervention,ARTcoverageAdult,2099,100,0.7072285,0.716108625,0.6983483749999999
2020,intervention,CondomUsage,2025,0,30.64698755145936,30.800234759650245,30.49374034326848
2020,intervention,CondomUsage,2025,100,30.64698755145936,30.800234759650245,30.49374034326848
2020,intervention,CondomUsage,2099,0,30.64698755145936,30.800234759650245,30.49374034326848
2020,intervention,CondomUsage,2099,100,30.64698755145936,30.800234759650245,30.49374034326848
2020,intervention,FSWCondomUsage,2025,0,80.82177220745463,81.13964491542188,80.50389949948737
2020,intervention,FSWCondomUsage,2025,100,80.82177220745463,81.13964491542188,80.50389949948737
2020,intervention,FSWCondomUsage,2099,0,80.82177220745463,81.13964491542188,80.50389949948737
2020,intervention,FSWCondomUsage,2099,100,80.82177220745463,81.13964491542188,80.50389949948737
2020,intervention,HIVinc15to49,2025,0,0.00671583,0.006735286,0.006696374
2020,intervention,HIVinc15to49,2025,100,0.00671583,0.006735286,0.006696374
2020,intervention,HIVinc15to49,2099,0,0.00671583,0.006735286,0.006696374
2020,intervention,HIVinc15to49,2099,100,0.00671583,0.006735286,0.006696374
2020,intervention,NewAdultHIV,2025,0,196344.5,196543.525,196145.475
2020,intervention,NewAdultHIV,2025,100,196344.5,196543.525,196145.475
2020,intervention,NewAdultHIV,2099,0,196344.5,196543.525,196145.475
2020,intervention,NewAdultHIV,2099,100,196344.5,196543.525,196145.475
2020,intervention,SWsexActs,2025,0,106004500,106292825,105716175
2020,intervention,SWsexActs,2025,100,106004500,106292825,105716175
2020,intervention,SWsexActs,2099,0,106004500,106292825,105716175
2020,intervention,SWsexActs,2099,100,106004500,106292825,105716175
2020,intervention,SWsexActsProt,2025,0,85673700,85777630,85569770
2020,intervention,SWsexActsProt,2025,100,85673700,85777630,85569770
2020,intervention,SWsexActsProt,2099,0,85673700,85777630,85569770
2020,intervention,SWsexActsProt,2099,100,85673700,85777630,85569770
2020,intervention,TotalAIDSdeathsadult,2025,0,49866.600000000006,50132.885,49600.315
2020,intervention,TotalAIDSdeathsadult,2025,100,49866.600000000006,50132.885,49600.315
2020,intervention,TotalAIDSdeathsadult,2099,0,49866.600000000006,50132.885,49600.315
2020,intervention,TotalAIDSdeathsadult,2099,100,49866.600000000006,50132.885,49600.315
2020,intervention,TotalHIVtests,2025,0,13702150,13717302.5,13686997.5
2020,intervention,TotalHIVtests,2025,100,13702150,13717302.5,13686997.5
2020,intervention,TotalHIVtests,2099,0,13702150,13717302.5,13686997.5
2020,intervention,TotalHIVtests,2099,100,13702150,13717302.5,13686997.5
2020,intervention,TotProtSexActs,2025,0,172247000,175551100,168942900
2020,intervention,TotProtSexActs,2025,100,172247000,175551100,168942900
2020,intervention,TotProtSexActs,2099,0,172247000,175551100,168942900
2020,intervention,TotProtSexActs,2099,100,172247000,175551100,168942900
2020,intervention,TotSexActs,2025,0,561991500,569962475,554020525
2020,intervention,TotSexActs,2025,100,561991500,569962475,554020525
2020,intervention,TotSexActs,2099,0,561991500,569962475,554020525
2020,intervention,TotSexActs,2099,100,561991500,569962475,554020525
2021,baseline,AIDSdeathsAdultF,2025,0,21524.8,21595.385,21454.215
2021,baseline,AIDSdeathsAdultF,2025,100,21524.8,21595.385,21454.215
2021,baseline,AIDSdeathsAdultF,2099,0,21524.8,21595.385,21454.215
2021,baseline,AIDSdeathsAdultF,2099,100,21524.8,21595.385,21454.215
2021,baseline,AIDSdeathsAdultM,2025,0,27044.050000000003,27287.8675,26800.232500000002
2021,baseline,AIDSdeathsAdultM,2025,100,27044.050000000003,27287.8675,26800.232500000002
2021,baseline,AIDSdeathsAdultM,2099,0,27044.050000000003,27287.8675,26800.232500000002
2021,baseline,AIDSdeathsAdultM,2099,100,27044.050000000003,27287.8675,26800.232500000002
2021,baseline,ARTcoverageAdult,2025,0,0.706841,0.7163809,0.6973011
2021,baseline,ARTcoverageAdult,2025,100,0.706841,0.7163809,0.6973011
2021,baseline,ARTcoverageAdult,2099,0,0.706841,0.7163809,0.6973011
2021,baseline,ARTcoverageAdult,2099,100,0.706841,0.7163809,0.6973011
2021,baseline,CondomUsage,2025,0,31.03935060856131,31.1886013958727,30.890099821249922
2021,baseline,CondomUsage,2025,100,31.03935060856131,31.1886013958727,30.890099821249922
2021,baseline,CondomUsage,2099,0,31.03935060856131,31.1886013958727,30.890099821249922
2021,baseline,CondomUsage,2099,100,31.03935060856131,31.1886013958727,30.890099821249922
2021,baseline,FSWCondomUsage,2025,0,80.85838067722102,81.17589230372556,80.54086905071647
2021,baseline,FSWCondomUsage,2025,100,80.85838067722102,81.17589230372556,80.54086905071647
2021,baseline,FSWCondomUsage,2099,0,80.85838067722102,81.17589230372556,80.54086905071647
2021,baseline,FSWCondomUsage,2099,100,80.85838067722102,81.17589230372556,80.54086905071647
2021,baseline,HIVinc15to49,2025,0,0.006229775,0.00624340275,0.00621614725
2021,baseline,HIVinc15to49,2025,100,0.006229775,0.00624340275,0.00621614725
2021,baseline,HIVinc15to49,2099,0,0.006229775,0.00624340275,0.00621614725
2021,baseline,HIVinc15to49,2099,100,0.006229775,0.00624340275,0.00621614725
2021,baseline,NewAdultHIV,2025,0,185155,185520.75,184789.25
2021,baseline,NewAdultHIV,2025,100,185155,185520.75,184789.25
2021,baseline,NewAdultHIV,2099,0,185155,185520.75,184789.25
2021,baseline,NewAdultHIV,2099,100,185155,185520.75,184789.25
2021,baseline,SWsexActs,2025,0,109498500,109744075,109252925
2021,baseline,SWsexActs,2025,100,109498500,109744075,109252925
2021,baseline,SWsexActs,2099,0,109498500,109744075,109252925
2021,baseline,SWsexActs,2099,100,109498500,109744075,109252925
2021,baseline,SWsexActsProt,2025,0,88537850,88686952.5,88388747.5
2021,baseline,SWsexActsProt,2025,100,88537850,88686952.5,88388747.5
2021,baseline,SWsexActsProt,2099,0,88537850,88686952.5,88388747.5
2021,baseline,SWsexActsProt,2099,100,88537850,88686952.5,88388747.5
2021,baseline,TotalAIDSdeathsadult,2025,0,48568.850000000006,48883.2525,48254.4475
2021,baseline,TotalAIDSdeathsadult,2025,100,48568.850000000006,48883.2525,48254.4475
2021,baseline,TotalAIDSdeathsadult,2099,0,48568.850000000006,48883.2525,48254.4475
2021,baseline,TotalAIDSdeathsadult,2099,100,48568.850000000006,48883.2525,48254.4475
2021,baseline,TotalHIVtests,2025,0,14616250,15614177.5,13618322.5
2021,baseline,TotalHIVtests,2025,100,14616250,15614177.5,13618322.5
2021,baseline,TotalHIVtests,2099,0,14616250,15614177.5,13618322.5
2021,baseline,TotalHIVtests,2099,100,14616250,15614177.5,13618322.5
2021,baseline,TotProtSexActs,2025,0,175284000,178656500,171911500
2021,baseline,TotProtSexActs,2025,100,175284000,178656500,171911500
2021,baseline,TotProtSexActs,2099,0,175284000,178656500,171911500
2021,baseline,TotProtSexActs,2099,100,175284000,178656500,171911500
2021,baseline,TotSexActs,2025,0,564672000,572822050,556521950
2021,baseline,TotSexActs,2025,100,564672000,572822050,556521950
2021,baseline,TotSexActs,2099,0,564672000,572822050,556521950
2021,baseline,TotSexActs,2099,100,564672000,572822050,556521950
2021,intervention,AIDSdeathsAdultF,2025,0,21524.8,21595.385,21454.215
2021,intervention,AIDSdeathsAdultF,2025,100,21524.8,21595.385,21454.215
2021,intervention,AIDSdeathsAdultF,2099,0,21524.8,21595.385,21454.215
2021,intervention,AIDSdeathsAdultF,2099,100,21524.8,21595.385,21454.215
2021,intervention,AIDSdeathsAdultM,2025,0,27044.050000000003,27287.8675,26800.232500000002
2021,intervention,AIDSdeathsAdultM,2025,100,27044.050000000003,27287.8675,26800.232500000002
2021,intervention,AIDSdeathsAdultM,2099,0,27044.050000000003,27287.8675,26800.232500000002
2021,intervention,AIDSdeathsAdultM,2099,100,27044.050000000003,27287.8675,26800.232500000002
2021,intervention,ARTcoverageAdult,2025,0,0.706841,0.7163809,0.6973011
2021,intervention,ARTcoverageAdult,2025,100,0.706841,0.7163809,0.6973011
2021,intervention,ARTcoverageAdult,2099,0,0.706841,0.7163809,0.6973011
2021,intervention,ARTcoverageAdult,2099,100,0.706841,0.7163809,0.6973011
2021,intervention,CondomUsage,2025,0,31.03935060856131,31.1886013958727,30.890099821249922
2021,intervention,CondomUsage,2025,100,31.03935060856131,31.1886013958727,30.890099821249922
2021,intervention,CondomUsage,2099,0,31.03935060856131,31.1886013958727,30.890099821249922
2021,intervention,CondomUsage,2099,100,31.03935060856131,31.1886013958727,30.890099821249922
2021,intervention,FSWCondomUsage,2025,0,80.85838067722102,81.17589230372556,80.54086905071647
2021,intervention,FSWCondomUsage,2025,100,80.85838067722102,81.17589230372556,80.54086905071647
2021,intervention,FSWCondomUsage,2099,0,80.85838067722102,81.17589230372556,80.54086905071647
2021,intervention,FSWCondomUsage,2099,100,80.85838067722102,81.17589230372556,80.54086905071647
2021,intervention,HIVinc15to49,2025,0,0.006229775,0.00624340275,0.00621614725
2021,intervention,HIVinc15to49,2025,100,0.006229775,0.00624340275,0.00621614725
2021,intervention,HIVinc15to49,2099,0,0.006229775,0.00624340275,0.00621614725
2021,intervention,HIVinc15to49,2099,100,0.006229775,0.00624340275,0.00621614725
2021,intervention,NewAdultHIV,2025,0,185155,185520.75,184789.25
2021,intervention,NewAdultHIV,2025,100,185155,185520.75,184789.25
2021,intervention,NewAdultHIV,2099,0,185155,185520.75,184789.25
2021,intervention,NewAdultHIV,2099,100,185155,185520.75,184789.25
2021,intervention,SWsexActs,2025,0,109498500,109744075,109252925
2021,intervention,SWsexActs,2025,100,109498500,109744075,109252925
2021,intervention,SWsexActs,2099,0,109498500,109744075,109252925
2021,intervention,SWsexActs,2099,100,109498500,109744075,109252925
2021,intervention,SWsexActsProt,2025,0,88537850,88686952.5,88388747.5
2021,intervention,SWsexActsProt,2025,100,88537850,88686952.5,88388747.5
2021,intervention,SWsexActsProt,2099,0,88537850,88686952.5,88388747.5
2021,intervention,SWsexActsProt,2099,100,88537850,88686952.5,88388747.5
2021,intervention,TotalAIDSdeathsadult,2025,0,48568.850000000006,48883.2525,48254.4475
2021,intervention,TotalAIDSdeathsadult,2025,100,48568.850000000006,48883.2525,48254.4475
2021,intervention,TotalAIDSdeathsadult,2099,0,48568.850000000006,48883.2525,48254.4475
2021,intervention,TotalAIDSdeathsadult,2099,100,48568.850000000006,48883.2525,48254.4475
2021,intervention,TotalHIVtests,2025,0,14616250,15614177.5,13618322.5
2021,intervention,TotalHIVtests,2025,100,14616250,15614177.5,13618322.5
2021,intervention,TotalHIVtests,2099,0,14616250,15614177.5,13618322.5
2021,intervention,TotalHIVtests,2099,100,14616250,15614177.5,13618322.5
2021,intervention,TotProtSexActs,2025,0,175284000,178656500,171911500
2021,intervention,TotProtSexActs,2025,100,175284000,178656500,171911500
2021,intervention,TotProtSexActs,2099,0,175284000,178656500,171911500
2021,intervention,TotProtSexActs,2099,100,175284000,178656500,171911500
2021,intervention,TotSexActs,2025,0,564672000,572822050,556521950
2021,intervention,TotSexActs,2025,100,564672000,572822050,556521950
2021,intervention,TotSexActs,2099,0,564672000,572822050,556521950
2021,intervention,TotSexActs,2099,100,564672000,572822050,556521950
2022,baseline,AIDSdeathsAdultF,2025,0,21156.5,21164.955,21148.045
2022,baseline,AIDSdeathsAdultF,2025,100,21156.5,21164.955,21148.045
2022,baseline,AIDSdeathsAdultF,2099,0,21156.5,21164.955,21148.045
2022,baseline,AIDSdeathsAdultF,2099,100,21156.5,21164.955,21148.045
2022,baseline,AIDSdeathsAdultM,2025,0,26406.45,26728.7375,26084.162500000002
2022,baseline,AIDSdeathsAdultM,2025,100,26406.45,26728.7375,26084.162500000002
2022,baseline,AIDSdeathsAdultM,2099,0,26406.45,26728.7375,26084.162500000002
2022,baseline,AIDSdeathsAdultM,2099,100,26406.45,26728.7375,26084.162500000002
2022,baseline,ARTcoverageAdult,2025,0,0.7187675,0.726757475,0.710777525
2022,baseline,ARTcoverageAdult,2025,100,0.7187675,0.726757475,0.710777525
2022,baseline,ARTcoverageAdult,2099,0,0.7187675,0.726757475,0.710777525
2022,baseline,ARTcoverageAdult,2099,100,0.7187675,0.726757475,0.710777525
2022,baseline,CondomUsage,2025,0,31.338169375795047,31.483104024037484,31.193234727552614
2022,baseline,CondomUsage,2025,100,31.338169375795047,31.483104024037484,31.193234727552614
2022,baseline,CondomUsage,2099,0,31.338169375795047,31.483104024037484,31.193234727552614
2022,baseline,CondomUsage,2099,100,31.338169375795047,31.483104024037484,31.193234727552614
2022,baseline,FSWCondomUsage,2025,0,80.87474165984463,81.19233975830349,80.55714356138576
2022,baseline,FSWCondomUsage,2025,100,80.87474165984463,81.19233975830349,80.55714356138576
2022,baseline,FSWCondomUsage,2099,0,80.87474165984463,81.19233975830349,80.55714356138576
2022,baseline,FSWCondomUsage,2099,100,80.87474165984463,81.19233975830349,80.55714356138576
2022,baseline,HIVinc15to49,2025,0,0.00579053,0.0057944345,0.0057866255
2022,baseline,HIVinc15to49,2025,100,0.00579053,0.0057944345,0.0057866255
2022,baseline,HIVinc15to49,2099,0,0.00579053,0.0057944345,0.0057866255
2022,baseline,HIVinc15to49,2099,100,0.00579053,0.0057944345,0.0057866255
2022,baseline,NewAdultHIV,2025,0,175530.5,176200.72499999998,174860.27500000002
2022,baseline,NewAdultHIV,2025,100,175530.5,176200.72499999998,174860.27500000002
2022,baseline,NewAdultHIV,2099,0,175530.5,176200.72499999998,174860.27500000002
2022,baseline,NewAdultHIV,2099,100,175530.5,176200.72499999998,174860.27500000002
2022,baseline,SWsexActs,2025,0,112515000,112732550,112297450
2022,baseline,SWsexActs,2025,100,112515000,112732550,112297450
2022,baseline,SWsexActs,2099,0,112515000,112732550,112297450
2022,baseline,SWsexActs,2099,100,112515000,112732550,112297450
2022,baseline,SWsexActsProt,2025,0,90995450,91176852.5,90814047.5
2022,baseline,SWsexActsProt,2025,100,90995450,91176852.5,90814047.5
2022,baseline,SWsexActsProt,2099,0,90995450,91176852.5,90814047.5
2022,baseline,SWsexActsProt,2099,100,90995450,91176852.5,90814047.5
2022,baseline,TotalAIDSdeathsadult,2025,0,47562.950000000004,47893.692500000005,47232.207500000004
2022,baseline,TotalAIDSdeathsadult,2025,100,47562.950000000004,47893.692500000005,47232.207500000004
2022,baseline,TotalAIDSdeathsadult,2099,0,47562.950000000004,47893.692500000005,47232.207500000004
2022,baseline,TotalAIDSdeathsadult,2099,100,47562.950000000004,47893.692500000005,47232.207500000004
2022,baseline,TotalHIVtests,2025,0,16579900,18098095,15061705
2022,baseline,TotalHIVtests,2025,100,16579900,18098095,15061705
2022,baseline,TotalHIVtests,2099,0,16579900,18098095,15061705
2022,baseline,TotalHIVtests,2099,100,16579900,18098095,15061705
2022,baseline,TotProtSexActs,2025,0,178260000,181689500,174830500
2022,baseline,TotProtSexActs,2025,100,178260000,181689500,174830500
2022,baseline,TotProtSexActs,2099,0,178260000,181689500,174830500
2022,baseline,TotProtSexActs,2099,100,178260000,181689500,174830500
2022,baseline,TotSexActs,2025,0,568784500,577097475,560471525
2022,baseline,TotSexActs,2025,100,568784500,577097475,560471525
2022,baseline,TotSexActs,2099,0,568784500,577097475,560471525
2022,baseline,TotSexActs,2099,100,568784500,577097475,560471525
2022,intervention,AIDSdeathsAdultF,2025,0,21156.5,21164.955,21148.045
2022,intervention,AIDSdeathsAdultF,2025,100,21156.5,21164.955,21148.045
2022,intervention,AIDSdeathsAdultF,2099,0,21156.5,21164.955,21148.045
2022,intervention,AIDSdeathsAdultF,2099,100,21156.5,21164.955,21148.045
2022,intervention,AIDSdeathsAdultM,2025,0,26406.45,26728.7375,26084.162500000002
2022,intervention,AIDSdeathsAdultM,2025,100,26406.45,26728.7375,26084.162500000002
2022,intervention,AIDSdeathsAdultM,2099,0,26406.45,26728.7375,26084.162500000002
2022,intervention,AIDSdeathsAdultM,2099,100,26406.45,26728.7375,26084.162500000002
2022,intervention,ARTcoverageAdult,2025,0,0.7187675,0.726757475,0.710777525
2022,intervention,ARTcoverageAdult,2025,100,0.7187675,0.726757475,0.710777525
2022,intervention,ARTcoverageAdult,2099,0,0.7187675,0.726757475,0.710777525
2022,intervention,ARTcoverageAdult,2099,100,0.7187675,0.726757475,0.710777525
2022,intervention,CondomUsage,2025,0,31.338169375795047,31.483104024037484,31.193234727552614
2022,intervention,CondomUsage,2025,100,31.338169375795047,31.483104024037484,31.193234727552614
2022,intervention,CondomUsage,2099,0,31.338169375795047,31.483104024037484,31.193234727552614
2022,intervention,CondomUsage,2099,100,31.338169375795047,31.483104024037484,31.193234727552614
2022,intervention,FSWCondomUsage,2025,0,80.87474165984463,81.19233975830349,80.55714356138576
2022,intervention,FSWCondomUsage,2025,100,80.87474165984463,81.19233975830349,80.55714356138576
2022,intervention,FSWCondomUsage,2099,0,80.87474165984463,81.19233975830349,80.55714356138576
2022,intervention,FSWCondomUsage,2099,100,80.87474165984463,81.19233975830349,80.55714356138576
2022,intervention,HIVinc15to49,2025,0,0.00579053,0.0057944345,0.0057866255
2022,intervention,HIVinc15to49,2025,100,0.00579053,0.0057944345,0.0057866255
2022,intervention,HIVinc15to49,2099,0,0.00579053,0.0057944345,0.0057866255
2022,intervention,HIVinc15to49,2099,100,0.00579053,0.0057944345,0.0057866255
2022,intervention,NewAdultHIV,2025,0,175530.5,176200.72499999998,174860.27500000002
2022,intervention,NewAdultHIV,2025,100,175530.5,176200.72499999998,174860.27500000002
2022,intervention,NewAdultHIV,2099,0,175530.5,176200.72499999998,174860.27500000002
2022,intervention,NewAdultHIV,2099,100,175530.5,176200.72499999998,174860.27500000002
2022,intervention,SWsexActs,2025,0,112515000,112732550,112297450
2022,intervention,SWsexActs,2025,100,112515000,112732550,112297450
2022,intervention,SWsexActs,2099,0,112515000,112732550,112297450
2022,intervention,SWsexActs,2099,100,112515000,112732550,112297450
2022,intervention,SWsexActsProt,2025,0,90995450,91176852.5,90814047.5
2022,intervention,SWsexActsProt,2025,100,90995450,91176852.5,90814047.5
2022,intervention,SWsexActsProt,2099,0,90995450,91176852.5,90814047.5
2022,intervention,SWsexActsProt,2099,100,90995450,91176852.5,90814047.5
2022,intervention,TotalAIDSdeathsadult,2025,0,47562.950000000004,47893.692500000005,47232.207500000004
2022,intervention,TotalAIDSdeathsadult,2025,100,47562.950000000004,47893.692500000005,47232.207500000004
2022,intervention,TotalAIDSdeathsadult,2099,0,47562.950000000004,47893.692500000005,47232.207500000004
2022,intervention,TotalAIDSdeathsadult,2099,100,47562.950000000004,47893.692500000005,47232.207500000004
2022,intervention,TotalHIVtests,2025,0,16579900,18098095,15061705
2022,intervention,TotalHIVtests,2025,100,16579900,18098095,15061705
2022,intervention,TotalHIVtests,2099,0,16579900,18098095,15061705
2022,intervention,TotalHIVtests,2099,100,16579900,18098095,15061705
2022,intervention,TotProtSexActs,2025,0,178260000,181689500,174830500
2022,intervention,TotProtSexActs,2025,100,178260000,181689500,174830500
2022,intervention,TotProtSexActs,2099,0,178260000,181689500,174830500
2022,intervention,TotProtSexActs,2099,100,178260000,181689500,174830500
2022,intervention,TotSexActs,2025,0,568784500,577097475,560471525
2022,intervention,TotSexActs,2025,100,568784500,577097475,560471525
2022,intervention,TotSexActs,2099,0,568784500,577097475,560471525
2022,intervention,TotSexActs,2099,100,568784500,577097475,560471525
2023,baseline,AIDSdeathsAdultF,2025,0,21000,21091.864999999998,20908.135000000002
2023,baseline,AIDSdeathsAdultF,2025,100,21000,21091.864999999998,20908.135000000002
2023,baseline,AIDSdeathsAdultF,2099,0,21000,21091.864999999998,20908.135000000002
2023,baseline,AIDSdeathsAdultF,2099,100,21000,21091.864999999998,20908.135000000002
2023,baseline,AIDSdeathsAdultM,2025,0,25508.199999999997,25919.454999999998,25096.945
2023,baseline,AIDSdeathsAdultM,2025,100,25508.199999999997,25919.454999999998,25096.945
2023,baseline,AIDSdeathsAdultM,2099,0,25508.199999999997,25919.454999999998,25096.945
2023,baseline,AIDSdeathsAdultM,2099,100,25508.199999999997,25919.454999999998,25096.945
2023,baseline,ARTcoverageAdult,2025,0,0.728696,0.7346239999999999,0.7227680000000001
2023,baseline,ARTcoverageAdult,2025,100,0.728696,0.7346239999999999,0.7227680000000001
2023,baseline,ARTcoverageAdult,2099,0,0.728696,0.7346239999999999,0.7227680000000001
2023,baseline,ARTcoverageAdult,2099,100,0.728696,0.7346239999999999,0.7227680000000001
2023,baseline,CondomUsage,2025,0,31.58777992485368,31.729249624914583,31.44631022479278
2023,baseline,CondomUsage,2025,100,31.58777992485368,31.729249624914583,31.44631022479278
2023,baseline,CondomUsage,2099,0,31.58777992485368,31.729249624914583,31.44631022479278
2023,baseline,CondomUsage,2099,100,31.58777992485368,31.729249624914583,31.44631022479278
2023,baseline,FSWCondomUsage,2025,0,80.87916585588978,81.19664276917838,80.56168894260118
2023,baseline,FSWCondomUsage,2025,100,80.87916585588978,81.19664276917838,80.56168894260118
2023,baseline,FSWCondomUsage,2099,0,80.87916585588978,81.19664276917838,80.56168894260118
2023,baseline,FSWCondomUsage,2099,100,80.87916585588978,81.19664276917838,80.56168894260118
2023,baseline,HIVinc15to49,2025,0,0.00536877,0.005380901499999999,0.0053566385
2023,baseline,HIVinc15to49,2025,100,0.00536877,0.005380901499999999,0.0053566385
2023,baseline,HIVinc15to49,2099,0,0.00536877,0.005380901499999999,0.0053566385
2023,baseline,HIVinc15to49,2099,100,0.00536877,0.005380901499999999,0.0053566385
2023,baseline,NewAdultHIV,2025,0,166272,167434.8,165109.2
2023,baseline,NewAdultHIV,2025,100,166272,167434.8,165109.2
2023,baseline,NewAdultHIV,2099,0,166272,167434.8,165109.2
2023,baseline,NewAdultHIV,2099,100,166272,167434.8,165109.2
2023,baseline,SWsexActs,2025,0,115418500,115608975,115228025
2023,baseline,SWsexActs,2025,100,115418500,115608975,115228025
2023,baseline,SWsexActs,2099,0,115418500,115608975,115228025
2023,baseline,SWsexActs,2099,100,115418500,115608975,115228025
2023,baseline,SWsexActsProt,2025,0,93348850,93561222.5,93136477.5
2023,baseline,SWsexActsProt,2025,100,93348850,93561222.5,93136477.5
2023,baseline,SWsexActsProt,2099,0,93348850,93561222.5,93136477.5
2023,baseline,SWsexActsProt,2099,100,93348850,93561222.5,93136477.5
2023,baseline,TotalAIDSdeathsadult,2025,0,46508.2,46827.59,46188.81
2023,baseline,TotalAIDSdeathsadult,2025,100,46508.2,46827.59,46188.81
2023,baseline,TotalAIDSdeathsadult,2099,0,46508.2,46827.59,46188.81
2023,baseline,TotalAIDSdeathsadult,2099,100,46508.2,46827.59,46188.81
2023,baseline,TotalHIVtests,2025,0,17000650,18569147.5,15432152.5
2023,baseline,TotalHIVtests,2025,100,17000650,18569147.5,15432152.5
