indicator,pitc_reduction_year,test_reduction,scenario,mean,upper_CI,lower_CI
NewAdultHIV,2030,40,absolute_dif,0,0,0
NewAdultHIV,2030,40,baseline,3535121.45,3653059.6275,3417183.2725
NewAdultHIV,2030,40,intervention,3535121.45,3653059.6275,3417183.2725
NewAdultHIV,2030,40,percent_change,0,0,0
SWsexActs,2030,40,absolute_dif,0,0,0
SWsexActs,2030,40,baseline,8840424500,8841090925,8839758075
SWsexActs,2030,40,intervention,8840424500,8841090925,8839758075
SWsexActs,2030,40,percent_change,0,0,0
SWsexActsProt,2030,40,absolute_dif,0,0,0
SWsexActsProt,2030,40,baseline,7150170500,7178782125,7121558875
SWsexActsProt,2030,40,intervention,7150170500,7178782125,7121558875
SWsexActsProt,2030,40,percent_change,0,0,0
TotalAIDSdeathsadult,2030,40,absolute_dif,0,0,0
TotalAIDSdeathsadult,2030,40,baseline,1710304.69,1737901.734,1682707.646
TotalAIDSdeathsadult,2030,40,intervention,1710304.69,1737901.734,1682707.646
TotalAIDSdeathsadult,2030,40,percent_change,0,0,0
TotalHIVtests,2030,40,absolute_dif,0,0,0
TotalHIVtests,2030,40,baseline,798937350,868979092.5,728895607.5
TotalHIVtests,2030,40,intervention,798937350,868979092.5,728895607.5
TotalHIVtests,2030,40,percent_change,0,0,0
TotProtSexActs,2030,40,absolute_dif,0,0,0
TotProtSexActs,2030,40,baseline,12370733000,12634284850,12107181150
TotProtSexActs,2030,40,intervention,12370733000,12634284850,12107181150
TotProtSexActs,2030,40,percent_change,0,0,0
TotSexActs,2030,40,absolute_dif,0,0,0
TotSexActs,2030,40,baseline,34966576500,35676151925,34257001075
TotSexActs,2030,40,intervention,34966576500,35676151925,34257001075
TotSexActs,2030,40,percent_change,0,0,0
